Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0002-15;AVENIDA PRESIDENTE MEDICI;10;;SACAVEM;65099-110;DIESEL S10;01/07/2026;6,89;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO PINGUIM LTDA; 07.521.677/0001-14;AVENIDA SANTOS DUMONT;66;A;SAO CRISTOVAO;65046-660;DIESEL S10;01/07/2026;7,29;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO DE SERVICOS J. M. LTDA.; 03.778.534/0002-12;AVENIDA CASEMIRO JUNIOR;200;A;ANIL;65045-180;DIESEL;01/07/2026;6,35;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO DE SERVICOS J. M. LTDA.; 03.778.534/0002-12;AVENIDA CASEMIRO JUNIOR;200;A;ANIL;65045-180;DIESEL S10;01/07/2026;6,75;;R$ / litro;BRANCA
SE;MG;ALFENAS;AUTO POSTO GIGI LTDA; 07.636.728/0001-53;RUA FRANCISCO MARIANO;773;;CENTRO;37130-001;DIESEL S10;01/07/2026;6,89;;R$ / litro;BRANCA
SE;MG;ALFENAS;VIOLETA ALFENAS AUTO POSTO LTDA; 06.329.051/0001-48;AVENIDA JOSE PAULINO DA COSTA;444;;CENTRO;37130-001;DIESEL;01/07/2026;7,09;;R$ / litro;RAIZEN
SE;MG;DIVINOPOLIS;AUTO POSTO OLINDA LTDA; 03.646.801/0001-17;RUA MARQUES DE OLINDA;501;;SAO JOSE;35501-222;DIESEL S10;01/07/2026;6,59;;R$ / litro;BRANCA
SE;MG;DIVINOPOLIS;ORGANIZACOES SOUKI LTDA; 38.656.930/0001-70;RUA GOIAS;2400;;BAIRRO IPIRANGA;35502-027;DIESEL;01/07/2026;6,79;;R$ / litro;IPIRANGA
SE;MG;DIVINOPOLIS;ORGANIZACOES SOUKI LTDA; 38.656.930/0001-70;RUA GOIAS;2400;;BAIRRO IPIRANGA;35502-027;DIESEL S10;01/07/2026;7,09;;R$ / litro;IPIRANGA
SE;MG;DIVINOPOLIS;COMERCIAL GIULIANO LIMITADA; 02.170.578/0001-11;RUA PERNAMBUCO;1200;;CENTRO;35500-008;DIESEL S10;01/07/2026;7,19;;R$ / litro;VIBRA
SE;MG;IPATINGA;AUTO POSTO REDE SOUZA LTDA; 05.907.822/0018-12;RUA CRISANTEMO;635;;ESPERANCA;35162-321;DIESEL S10;01/07/2026;6,86;;R$ / litro;VIBRA
SE;MG;IPATINGA;POSTO AMIZADE LTDA; 05.114.354/0001-80; JOSE JULIO DA COSTA;1625;;IDEAL;35162-189;DIESEL S10;01/07/2026;6,85;;R$ / litro;VIBRA
SE;MG;IPATINGA;AP MAGALHAES & CIA LTDA; 21.027.537/0005-49;RUA GASPAR LEMOS;61;;BOM RETIRO;35160-227;DIESEL;01/07/2026;6,56;;R$ / litro;VIBRA
SE;MG;IPATINGA;AUTO POSTO BETEL LTDA - EPP; 02.933.359/0001-47;AVENIDA MONTEIRO LOBATO;730;;CIDADE NOBRE;35162-394;DIESEL;01/07/2026;6,56;;R$ / litro;VIBRA
SE;MG;IPATINGA;AUTO POSTO BETEL LTDA - EPP; 02.933.359/0001-47;AVENIDA MONTEIRO LOBATO;730;;CIDADE NOBRE;35162-394;DIESEL S10;01/07/2026;6,86;;R$ / litro;VIBRA
SE;MG;ITAUNA;AUTO POSTO ALELUIA LTDA; 03.733.648/0001-65;AVENIDA GETULIO VARGAS;533;;CENTRO;35680-037;DIESEL S10;01/07/2026;6,75;;R$ / litro;VIBRA
SE;MG;MONTES CLAROS;CEMA CENTRAL MINEIRA ATACADISTA LTDA; 03.083.231/0006-09;AVENIDA DULCE SARMENTO;1320;;VILA NAZARETH;39401-485;DIESEL;01/07/2026;6,45;;R$ / litro;VIBRA
SE;MG;POCOS DE CALDAS;AUTO POSTO REKAR LTDA.; 07.341.138/0001-01;RUA CEL. VIRIGILIO SILVA;1578;;VILA NOVA;37701-103;DIESEL;01/07/2026;6,99;;R$ / litro;IPIRANGA
SE;MG;POCOS DE CALDAS;AUTO POSTO REKAR LTDA.; 07.341.138/0001-01;RUA CEL. VIRIGILIO SILVA;1578;;VILA NOVA;37701-103;DIESEL S10;01/07/2026;7,29;;R$ / litro;IPIRANGA
SE;MG;POCOS DE CALDAS;POSTO NOSSA SENHORA APARECIDA LTDA; 23.649.825/0001-37;RUA MARECHAL DEODORO;519;;CENTRO;37701-014;DIESEL S10;01/07/2026;7,69;;R$ / litro;VIBRA
SE;MG;SETE LAGOAS;AUTO POSTO DA SERRA LTDA; 00.761.829/0001-07;RUA BENEDITO VALADARES;576;;CENTRO;35700-055;DIESEL;01/07/2026;6,89;;R$ / litro;BRANCA
SE;MG;SETE LAGOAS;AUTO POSTO MILENIO LTDA; 03.339.647/0001-30;RUA PAULO FRONTIN;937;;CENTRO;35700-049;DIESEL S10;01/07/2026;6,59;;R$ / litro;BRANCA
SE;MG;UBERLANDIA;URSA MAIOR DERIVADOS DE PETROLEO LTDA; 07.586.114/0001-04;AVENIDA AFONSO PENA;1111;;APARECIDA;38400-706;DIESEL S10;01/07/2026;6,99;;R$ / litro;IPIRANGA
NE;PE;GOIANA;VIEIRA & RABELO LTDA; 05.822.300/0001-70;RODOVIA ROD MARGEM DA PE 75, KM 01;S/N;;CENTRO;55900-000;DIESEL S10;01/07/2026;6,76;;R$ / litro;BRANCA
NE;PE;GOIANA;ALBUQUERQUE PNEUS LTDA; 11.117.785/0005-27;RODOVIA PE 75;SN;KM    4.5;CENTRO;55900-000;DIESEL;01/07/2026;6,86;;R$ / litro;VIBRA
NE;PE;GOIANA;ALBUQUERQUE PNEUS LTDA; 11.117.785/0005-27;RODOVIA PE 75;SN;KM    4.5;CENTRO;55900-000;DIESEL S10;01/07/2026;6,96;;R$ / litro;VIBRA
NE;PE;JABOATAO DOS GUARARAPES;ALBUQUERQUE PNEUS LTDA; 11.117.785/0013-37;AVENIDA BERNARDO VIEIRA DE MELO;4844;;CANDEIAS;54440-620;DIESEL S10;01/07/2026;6,99;;R$ / litro;RAIZEN
NE;PE;JABOATAO DOS GUARARAPES;GUARUJA COMERCIO E DISTRIBUICAO DE PETROLEO LTDA; 01.457.180/0001-06;ESTRADA DA BATALHA;371;;PRAZERES;54315-010;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;JABOATAO DOS GUARARAPES;JL LEMOS COMBUSTÍVEL LTDA.; 07.065.530/0001-67;AVENIDA AYRTON SENNA DA SILVA;3300;;PIEDADE;54410-240;DIESEL S10;01/07/2026;7,29;;R$ / litro;IPIRANGA
NE;PE;JABOATAO DOS GUARARAPES;POSTO JARDIM PIEDADE LTDA; 06.251.430/0001-62;RUA SAO SEBASTIAO;791;;PIEDADE;54410-500;DIESEL S10;01/07/2026;6,99;;R$ / litro;BRANCA
NE;PE;JABOATAO DOS GUARARAPES;SAO MIGUEL PETROLEO LTDA.; 06.077.409/0001-92;AVENIDA BERNARDO VIEIRA DE MELO;1905;;PIEDADE;54410-000;DIESEL S10;01/07/2026;6,89;;R$ / litro;RAIZEN
NE;PE;JABOATAO DOS GUARARAPES;CEMOPEL CM PETROLEO LTDA; 69.943.686/0006-65;AVENIDA BERNARDO VIEIRA DE MELO;2750;;PIEDADE;54410-010;DIESEL S10;01/07/2026;6,99;;R$ / litro;RAIZEN
NE;PE;JABOATAO DOS GUARARAPES;ABASTECA COMERCIO DE COMBUSTIVEIS EIRELI; 69.935.930/0002-14;AVENIDA GENERAL MANOEL RABELO;5746;;SUCUPIRA;54280-000;DIESEL S10;01/07/2026;6,99;;R$ / litro;VIBRA
NE;PE;JABOATAO DOS GUARARAPES;POSTO B.S. COMERCIO DE COMBUSTIVEL LTDA; 04.741.326/0001-20;AVENIDA COPACABANA;326;;PIEDADE;54410-240;DIESEL S10;01/07/2026;6,87;;R$ / litro;VIBRA
NE;PE;JABOATAO DOS GUARARAPES;J L I COMBUSTÍVEL LTDA; 35.353.465/0001-00;AVENIDA ANICETO VAREJÃO;530;0;CANDEIAS;54420-310;DIESEL S10;01/07/2026;7,29;;R$ / litro;IPIRANGA
NE;PE;JABOATAO DOS GUARARAPES;CMA PETROLEO UNIPESSOAL LTDA; 05.263.779/0001-51;AVENIDA BERNARDO VIEIRA DE MELO;5160;;CANDEIAS;54450-020;DIESEL S10;01/07/2026;6,79;;R$ / litro;RAIZEN
NE;PE;JABOATAO DOS GUARARAPES;POSTO CANCUN LTDA; 01.912.250/0001-60;AVENIDA AYRTON SENNA DA SILVA;1522;;PIEDADE;54400-020;DIESEL S10;01/07/2026;6,88;;R$ / litro;LARCO
