Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;ES;GUARAPARI;A S SALES JUNIOR LTDA; 02.802.986/0001-49;RUA DAVINO MATOS;S/N;;PARQUE AREIA PRETA;29200-615;DIESEL S10;02/06/2025;6,08;;R$ / litro;ATLÂNTICA
SE;ES;SAO MATEUS;POSTO SD LTDA.; 00.762.780/0002-98;AVENIDA GURIRI;154;;GURIRI;29930-000;DIESEL S10;02/06/2025;6,09;;R$ / litro;VIBRA
SE;ES;VILA VELHA;AUTO POSTO DE COMBUSTIVEL RTT LTDA; 08.022.304/0001-61;RUA MOEMA;38;;DIVINO ESPIRITO SANTO;29107-250;DIESEL S10;02/06/2025;6,19;;R$ / litro;BRANCA
SE;ES;VILA VELHA;AUTO POSTO VALE ENCANTADO LTDA.; 05.892.261/0001-87;RUA SOBREIRO;395;;RIO MARINHO;29112-112;DIESEL;02/06/2025;6,05;;R$ / litro;VIBRA
SE;ES;VILA VELHA;AUTO POSTO VALE ENCANTADO LTDA.; 05.892.261/0001-87;RUA SOBREIRO;395;;RIO MARINHO;29112-112;DIESEL S10;02/06/2025;6,15;;R$ / litro;VIBRA
SE;ES;VILA VELHA;AUTO POSTO SUCESSO LTDA; 06.073.382/0001-60;AVENIDA JOAO FRANCISCO GONCALVES;746;;COBILANDIA;29111-300;DIESEL S10;02/06/2025;5,97;;R$ / litro;BRANCA
SE;ES;VILA VELHA;ARARA AZUL REDE DE POSTOS LTDA; 04.145.589/0011-49;AVENIDA FRANCISCO  LACERDA  DE  AGUIAR;530;RODOVIA  DO  SOL;ITAPARICA;29102-020;DIESEL S10;02/06/2025;6,08;;R$ / litro;BRANCA
SE;ES;VILA VELHA;POSTO PERIM LTDA; 01.496.517/0001-86;RUA SANTA LEOPOLDINA;1650;;ITAPARICA;29102-040;DIESEL S10;02/06/2025;6,39;;R$ / litro;VIBRA
SE;ES;VILA VELHA;POSTO MARCELA LTDA; 01.503.536/0001-92;RUA DO PESSEGUEIRO;S/N;;DIVINO ESPÍRITO SANTO;29107-230;DIESEL S10;02/06/2025;6,09;;R$ / litro;VIBRA
CO;GO;ANAPOLIS;AUTO POSTO PARQUE DAS NACOES LTDA; 02.796.544/0001-37;AVENIDA BUENO AIRES ESQUINA C/ ROD GO-222;280;;STR PARQUE DAS NACOE;75143-420;DIESEL;02/06/2025;5,69;;R$ / litro;BRANCA
CO;GO;ANAPOLIS;AUTO POSTO PARQUE DAS NACOES LTDA; 02.796.544/0001-37;AVENIDA BUENO AIRES ESQUINA C/ ROD GO-222;280;;STR PARQUE DAS NACOE;75143-420;DIESEL S10;02/06/2025;5,69;;R$ / litro;BRANCA
CO;GO;ANAPOLIS;COMERCIAL ARAGUAIA AUTO POSTO LTDA.; 03.879.582/0001-16;VIELA VP RE;S/N;QD. 06-A - MOD. 35, 35-A E 35-B;DISTRITO AGROINDUSTRIAL DE ANAPOLIS;75132-090;DIESEL;02/06/2025;6,30;;R$ / litro;IPIRANGA
CO;GO;ANAPOLIS;COMERCIAL ARAGUAIA AUTO POSTO LTDA.; 03.879.582/0001-16;VIELA VP RE;S/N;QD. 06-A - MOD. 35, 35-A E 35-B;DISTRITO AGROINDUSTRIAL DE ANAPOLIS;75132-090;DIESEL S10;02/06/2025;6,40;;R$ / litro;IPIRANGA
CO;GO;APARECIDA DE GOIANIA;JM - COMERCIO DE LUBRIFICANTES LTDA; 05.608.441/0001-94;RUA MONTE CARMELO;SN;MODULO INDUSTRIAL 01 QD. 01;POLO EMPRESARIAL GOIAS;74983-160;DIESEL;02/06/2025;5,59;;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;JM - COMERCIO DE LUBRIFICANTES LTDA; 05.608.441/0001-94;RUA MONTE CARMELO;SN;MODULO INDUSTRIAL 01 QD. 01;POLO EMPRESARIAL GOIAS;74983-160;DIESEL S10;02/06/2025;5,59;;R$ / litro;BRANCA
CO;GO;APARECIDA DE GOIANIA;PILOTO COMERCIO DE DERIVADOS DE PETROLEO LTDA; 07.262.086/0001-70;AVENIDA INDEPENDENCIA ESQ. C/ RUA 3;S/N;QD. 04 LT. 01;CIDADE LIVRE;74970-295;DIESEL S10;02/06/2025;5,49;;R$ / litro;BRANCA
